name,param,Sharpe_train,Sharpe_test,Gap_Sharpe,Sortino_train,Sortino_test,Gap_Sortino,MaxDD_train,MaxDD_test,Gap_MaxDD,AvgDD_train,AvgDD_test,Gap_AvgDD
10th,42,0.3381962939089009,-0.6491485034818338,-0.9873447973907348,0.4541072197478303,-0.8717419627392637,-1.3258491824870942,-18.949583382319467,-26.125954798391316,-7.176371416071849,-6.031694858783638,-11.453315243372627,-5.421620384588989
20th,79,0.36565957005400807,-0.33725025701352046,-0.7029098270675285,0.49206877932903725,-0.4461964558841097,-0.938265235213147,-22.735174645155265,-17.149699478252543,5.585475166902722,-6.260082338193221,-7.460625442858842,-1.2005431046656216
30th,116,0.3766380304073601,-0.23243210136518727,-0.6090701317725473,0.4964383004471196,-0.30738054490079036,-0.80381884534791,-22.404385385618987,-19.272557728020455,3.1318276575985315,-6.425265510125263,-6.573713670156235,-0.14844816003097172
40th,154,0.4201820162051659,-0.6251216289099142,-1.0453036451150801,0.5548753046282684,-0.8458161035409495,-1.4006914081692179,-19.14944909525833,-26.287991035644797,-7.138541940386467,-6.435644103146155,-8.218267009591948,-1.782622906445793
50th,192,0.36127208715547804,-0.3347875523030462,-0.6960596394585242,0.48095100757138703,-0.448656906266043,-0.92960791383743,-19.563124127155174,-21.285124381528064,-1.7220002543728903,-7.581439886768848,-6.384816794134969,1.196623092633879
60th,228,0.32454602710930897,-0.2890300086085251,-0.6135760357178341,0.4355764806521521,-0.3929213801091656,-0.8284978607613177,-27.495382736228425,-17.624992077863798,9.870390658364627,-10.034163077364072,-7.097990231594181,2.9361728457698906
70th,266,0.26500595628499224,-0.3305373727157044,-0.5955433290006966,0.3488778327099742,-0.49705634077739913,-0.8459341734873733,-24.03103664184103,-18.774619352435383,5.256417289405647,-9.673176627805063,-7.352077204783708,2.321099423021355
80th,302,0.13766024726530648,-0.43468694241126227,-0.5723471896765687,0.17829646057275425,-0.6456559323698379,-0.8239523929425921,-26.217356102704812,-14.33550517169162,11.881850931013192,-10.173752528910796,-6.797816076825051,3.375936452085745
90th,340,0.33424389166004426,-1.0463129752805849,-1.3805568669406292,0.4569720951074314,-1.4628398690662043,-1.9198119641736358,-24.702753786785124,-20.764910966918247,3.9378428198668765,-9.459508370392273,-11.065118991374467,-1.605610620982194
max,377,0.2934014901376208,-0.7677029363215914,-1.0611044264592122,0.39967797055205284,-1.1225368426851257,-1.5222148132371784,-26.508663853727665,-17.267585810142315,9.24107804358535,-12.05742835279311,-8.791560371028204,3.265867981764906
ERM_max,43,0.568253372942953,-0.7406474939371283,-1.3089008668800812,0.752941740930686,-0.9671431700682029,-1.720084910998889,-18.1105907500551,-28.45855119856506,-10.347960448509962,-4.299969860435787,-14.168687201095103,-9.868717340659316
