name,param,Sharpe_train,Sharpe_test,Gap_Sharpe,Sortino_train,Sortino_test,Gap_Sortino,MaxDD_train,MaxDD_test,Gap_MaxDD,AvgDD_train,AvgDD_test,Gap_AvgDD,asset
10th,39,-0.11474089893834917,-0.2990021417045837,-0.18426124276623457,-0.15023917909387463,-0.445796939764924,-0.2955577606710494,-35.8543585975294,-20.79851394041009,15.055844657119309,-15.670398021787319,-10.184624758922144,5.485773262865175,SPY
20th,76,0.1011909243263474,-0.3323933640451798,-0.4335842883715272,0.13008707280896192,-0.48467209068891665,-0.6147591634978786,-30.98148345785384,-21.406423391490613,9.575060066363228,-10.350696738791823,-8.322620450960468,2.0280762878313556,SPY
30th,142,0.28858765068178593,0.3081847147388382,0.01959706405705225,0.36935913299436113,0.4596979628656334,0.09033882987127229,-28.678466711403374,-16.242276056515504,12.43619065488787,-7.785749344173917,-7.31149183413263,0.47425751004128713,SPY
40th,124,0.40532866590319194,-0.2222804775388626,-0.6276091434420545,0.5238209557096267,-0.3328237434915103,-0.856644699201137,-33.34469028656264,-20.55222302075822,12.792467265804419,-6.652542726811656,-9.556984935347144,-2.904442208535488,SPY
50th,185,0.18158206058118445,-0.047050263948690406,-0.22863232452987486,0.2269914381356109,-0.07084028994192215,-0.29783172807753305,-28.433274034606125,-16.574695437187458,11.858578597418667,-11.652886183537827,-9.589210327766175,2.0636758557716526,SPY
60th,231,0.15083935939203358,0.1326590642392158,-0.01818029515281777,0.1897637535844242,0.20458516138732522,0.014821407802901004,-30.399438336435402,-9.99685540209574,20.402582934339662,-10.946324526046876,-5.336392225266717,5.609932300780159,SPY
70th,263,0.3248983871379084,0.013745629005729967,-0.31115275813217846,0.402145583556279,0.021402232213844474,-0.38074335134243453,-20.07711735952923,-11.694159274478476,8.382958085050753,-7.933929878171019,-6.876581980951024,1.0573478972199943,SPY
80th,336,0.2189323465465953,-1.0168119856347293,-1.2357443321813246,0.2709181031369035,-1.5033086982929869,-1.7742268014298903,-29.405790089260996,-24.867372425628986,4.538417663632011,-10.09344076079128,-14.24324866143587,-4.149807900644591,SPY
90th,369,0.31749051343404877,-1.25288548491762,-1.5703759983516687,0.3904976194683373,-1.8809687842396072,-2.2714664037079446,-21.105155522644903,-24.408312278510046,-3.3031567558651425,-8.342767301209522,-11.991928499845923,-3.649161198636401,SPY
ERM_max,106,0.45376827886512844,-0.23667866902404228,-0.6904469478891707,0.5829611134244322,-0.35856669585755024,-0.9415278092819825,-15.066691932619602,-18.46249822443451,-3.395806291814907,-5.255386693702516,-8.475087344201938,-3.219700650499422,SPY
10th,40,-0.21452859416859546,-1.1628681233517608,-0.9483395291831653,-0.3188989721171862,-1.807576874653658,-1.4886779025364718,-39.586915089872754,-35.6404268172321,3.946488272640657,-18.639242034455027,-20.4150468767917,-1.7758048423366724,IWM
20th,321,-0.25095029723879964,-0.8852302672501878,-0.6342799700113881,-0.34594967567586704,-1.3831329399786059,-1.0371832643027388,-41.85916385333448,-22.339544618106157,19.519619235228323,-15.5648888534107,-5.734306533605598,9.830582319805103,IWM
30th,88,0.2077545519854145,-1.530837795925489,-1.7385923479109036,0.30392784920728283,-2.34885627285387,-2.652784122061153,-23.672910472310093,-36.34812195861616,-12.675211486306068,-5.98274259827262,-18.449797828668274,-12.467055230395655,IWM
40th,363,-0.292568106725948,0.1716150831066129,0.4641831898325609,-0.40712201004755155,0.2906958062305755,0.697817816278127,-44.72186334373037,-8.350464500890142,36.37139884284023,-18.725830003282713,-3.658410880190768,15.067419123091945,IWM
50th,357,-0.4633113783867637,-0.14045557640971118,0.3228558019770525,-0.6476603591102034,-0.21845978827922163,0.42920057083098173,-49.88269819345196,-8.556494377667502,41.32620381578445,-22.116218332901358,-3.6520975069919617,18.464120825909397,IWM
60th,128,0.05546996076816529,0.09315846878204598,0.03768850801388069,0.07976727755498696,0.14862479514763285,0.0688575175926459,-26.412332965846662,-11.171765417243318,15.240567548603345,-10.161423768166177,-2.740264195793942,7.421159572372234,IWM
70th,348,-0.26277653364116976,-0.7545346600823891,-0.49175812644121936,-0.36574435936854177,-1.1690644818670668,-0.803320122498525,-45.41921814263432,-16.320645508947283,29.098572633687038,-15.751443459308248,-4.550776317289709,11.200667142018538,IWM
80th,250,-0.0025528329173228914,-0.265262727446453,-0.26270989452913013,-0.003589111607386863,-0.41103969582972694,-0.4074505842223401,-26.708845062668896,-10.013398856769163,16.695446205899735,-12.648212354989546,-4.027574683660018,8.62063767132953,IWM
90th,173,0.024417096290886203,-0.15932302553363428,-0.18374012182452049,0.03490709755013577,-0.24592645646781372,-0.2808335540179495,-28.7558391446024,-13.309184321652722,15.446654822949679,-9.275418426628908,-7.286382748601039,1.9890356780278697,IWM
ERM_max,74,0.23399306496170805,-0.5487120368477374,-0.7827051018094454,0.3418016589560127,-0.8376696722534198,-1.1794713312094325,-16.517963891090158,-16.191495714467376,0.3264681766227824,-6.54038019372712,-9.279623687808737,-2.7392434940816166,IWM
