name,param,Sharpe_train,Sharpe_test,Gap_Sharpe,Sortino_train,Sortino_test,Gap_Sortino,MaxDD_train,MaxDD_test,Gap_MaxDD,AvgDD_train,AvgDD_test,Gap_AvgDD
10th,39,0.1732565418332576,-0.7528893570897873,-0.9261458989230449,0.23456344067782267,-0.9946924573798137,-1.2292558980576365,-22.964012663636957,-25.900287241311805,-2.9362745776748476,-7.924226482525289,-12.612749448589286,-4.688522966063997
20th,63,0.3360648561302,-0.8233494517419749,-1.1594143078721748,0.46008924737565177,-1.0632697342489532,-1.523358981624605,-14.765693429622416,-26.866684469545945,-12.100991039923528,-6.308584339693887,-12.084479774809395,-5.775895435115508
30th,94,0.2409246563279713,-0.7365156989872403,-0.9774403553152117,0.3189012559150446,-0.9280312197827546,-1.246932475697799,-22.36142562524033,-25.418752462642324,-3.0573268374019946,-7.240223675672273,-8.048399252230013,-0.8081755765577396
40th,206,0.37935230839645906,-0.47741814713726693,-0.856770455533726,0.5049180470216825,-0.6470500948095557,-1.1519681418312382,-23.985694732569694,-20.604421867973322,3.3812728645963723,-8.964701257927775,-6.804961707060807,2.159739550866968
50th,209,0.33925292995981554,-0.2812597802610892,-0.6205127102209047,0.44770836356663335,-0.37772449904702143,-0.8254328626136548,-20.069736440837115,-20.19801151940538,-0.12827507856826514,-7.565215631105571,-7.263407348476079,0.30180828262949166
60th,202,0.39315829472648023,-0.23273029577897908,-0.6258885905054593,0.5180904454540761,-0.303734240766378,-0.8218246862204541,-21.239174000673934,-16.46622925853579,4.772944742138144,-7.235154180427234,-5.88373855304795,1.351415627379284
70th,274,0.19703225204507074,0.3097526214509894,0.11272036940591867,0.25816136251241173,0.462418475588974,0.20425711307656225,-23.353546751079644,-11.111728770487538,12.241817980592106,-10.859007292097072,-5.06649781071009,5.792509481386982
80th,331,0.20494023580502566,-1.2759479679110577,-1.4808882037160833,0.2800768795508122,-1.7859561286178876,-2.0660330081686995,-25.239172757419247,-23.55260807546047,1.686564681958778,-11.46682416627248,-11.767488519309834,-0.30066435303735517
90th,303,0.11977400670114505,-0.4867657740038604,-0.6065397807050055,0.15507337381534586,-0.6987517257136894,-0.8538250995290353,-27.355096038116944,-15.550113904300677,11.804982133816267,-10.478510389481508,-7.428478338900513,3.0500320505809952
ERM_max,43,0.568253372942953,-0.7406474939371283,-1.3089008668800812,0.752941740930686,-0.9671431700682029,-1.720084910998889,-18.1105907500551,-28.45855119856506,-10.347960448509962,-4.299969860435787,-14.168687201095103,-9.868717340659316
max,366,0.1720017553946744,-1.03967203542195,-1.2116737908166244,0.23028383547704867,-1.3882093177188468,-1.6184931531958955,-23.5953948729231,-22.383422803913277,1.2119720690098248,-10.209812724403415,-12.190529680135413,-1.9807169557319977
