name,param,Sharpe_train,Sharpe_test,Gap_Sharpe,Sortino_train,Sortino_test,Gap_Sortino,MaxDD_train,MaxDD_test,Gap_MaxDD,AvgDD_train,AvgDD_test,Gap_AvgDD
10th,32-192,0.12855756119690595,-0.18539501260039154,-0.31395257379729746,0.18288146893603188,-0.2548396351696685,-0.4377211041057004,-22.63801236670837,-16.26013656162426,6.377875805084109,-8.255864840254395,-7.523037372809364,0.7328274674450306
20th,16-96,0.33868740670461545,-0.24890714675994588,-0.5875945534645614,0.4891352939384293,-0.34610136095361416,-0.8352366548920435,-19.836564456587524,-16.17029157115407,3.666272885433454,-6.415484185675859,-7.7320883705797785,-1.3166041849039196
30th,16-24,0.2661651497925948,-0.2644812091205628,-0.5306463589131576,0.388023999147293,-0.3642999938921839,-0.752323993039477,-22.263451587232687,-16.77003708131899,5.493414505913698,-7.775349667663109,-8.593061347752561,-0.8177116800894524
40th,16-384,0.12704857682178397,-0.10757171429742739,-0.23462029111921134,0.18043598254052387,-0.1476497914766785,-0.3280857740172024,-25.864932033224687,-11.83374173047278,14.031190302751906,-10.01338874712903,-5.393540667104019,4.619848080025011
50th,8-12,0.17188573496685972,-0.5076773864861792,-0.6795631214530389,0.24748006752112248,-0.6905442199422758,-0.9380242874633983,-34.058197024737105,-24.72263770480848,9.335559319928624,-17.193797669994662,-14.54610776810325,2.647689901891413
60th,8-96,0.2833364293287066,-0.37370129236991045,-0.6570377216986171,0.41123274516258584,-0.52026935368965,-0.9315020988522358,-23.009972398612554,-21.40685715753763,1.6031152410749243,-9.247907342887354,-11.373897151035697,-2.1259898081483435
70th,8-384,0.19186126195681727,-0.4791802950672218,-0.6710415570240391,0.27784974003483004,-0.6539690458613762,-0.9318187858962061,-25.158040943661554,-22.460993312435217,2.6970476312263365,-12.021219974680927,-12.082173227282475,-0.06095325260154816
80th,4-384,0.050597060454323876,-0.8036195360908913,-0.8542165965452152,0.07275326523374782,-1.103584861677743,-1.176338126911491,-41.63990133244382,-28.946685681515905,12.693215650927915,-23.571958461972123,-16.388643993133808,7.183314468838315
90th,4-96,0.17965241046774974,-0.726840292351485,-0.9064927028192347,0.25746490191769494,-1.008808622693066,-1.2662735246107608,-38.083771406146305,-27.592256752087696,10.491514654058609,-18.508666218514332,-16.52253503932428,1.9861311791900533
max,4-8,0.04996774762494079,-0.8609617559639117,-0.9109295035888525,0.0712862569086176,-1.1726428636222093,-1.243929120530827,-29.081990467352437,-29.26570567996558,-0.18371521261314427,-19.20632381063895,-18.917052214967956,0.2892715956709928
ERM_max,16-48,0.34427390748906467,0.011368429780881118,-0.3329054777081836,0.5031418479595033,0.016195887141106754,-0.4869459608183966,-15.713761891088684,-14.22476637322112,1.4889955178675631,-5.931590611094076,-6.73492256950639,-0.803331958412314
